play_count,score,link,domain,name
200000000,7.6,https://v.qq.com/x/cover/4xejxtj554aysi2.html,qq,千方百计爱上你
10560000,8.6,https://v.qq.com/x/cover/2bmnni22a5boa1o.html,qq,特殊使命
99670000,8.6,https://v.qq.com/x/cover/0jmq8ko4k15qb07.html,qq,超级巨星
32570000,7.0,https://v.qq.com/x/cover/lbggk3tuh4i70fn.html,qq,星选者联盟
290000,7.6,https://v.qq.com/x/cover/6zqbi6h98ow875j.html,qq,《黎明决战》刘诗诗CUT
48050000,7.7,https://v.qq.com/x/cover/wsoqglceg2urvt7.html,qq,别让爱你的人等太久
18710000,8.5,https://v.qq.com/x/cover/s01ie35i6el3rls.html,qq,小李飞刀
29860000,6.5,https://v.qq.com/x/cover/28hmf4n505or3n0.html,qq,大唐女将樊梨花
10450000,7.8,https://v.qq.com/x/cover/prcozjks497x7uh.html,qq,刀锋乱世情
100000000,8.1,https://v.qq.com/x/cover/87p8xfqce0uclnk.html,qq,于成龙
6850000,6.9,https://v.qq.com/x/cover/oqndrxesxwx54hh.html,qq,王昭君
9040000,8.1,https://v.qq.com/x/cover/2yvof3je3t323ia.html,qq,铁道游击队2
100000000,8.6,https://v.qq.com/x/cover/lth99s5zzjf0lyd.html,qq,水浒传
37880000,7.3,https://v.qq.com/x/cover/boowq1mh1mp2owp.html,qq,赛罗奥特曼英雄传 中文版
35250000,6.7,https://v.qq.com/x/cover/ilmej6ao0cz5mmu.html,qq,八仙全传之八仙过海
9450000,7.1,https://v.qq.com/x/cover/b0yozgfs4fzsxl0.html,qq,悬崖
66670000,8.3,https://v.qq.com/x/cover/7i0nddnj9pc178i.html,qq,情深深雨濛濛
22650000,9.1,https://v.qq.com/x/cover/2bfp1mylkaqqiqe.html,qq,神盾局特工 第三季
17470000,7.5,https://v.qq.com/x/cover/agzc5r5z0yrdqky.html,qq,铁腕行动
17560000,8.2,https://v.qq.com/x/cover/gv9lghinimhkjwb.html,qq,黎明绝杀
7670000,7.8,https://v.qq.com/x/cover/6z1xzd7dtyey3xd.html,qq,草民县令
33520000,8.8,https://v.qq.com/x/cover/ffkrx7n2gdvgvr8.html,qq,小姨多鹤
42190000,8.2,https://v.qq.com/x/cover/d6a0dn0e60s1t6d.html,qq,特战先锋
17130000,8.1,https://v.qq.com/x/cover/h87mhjjowzkg0uq.html,qq,国门英雄
15830000,6.5,https://v.qq.com/x/cover/ti0hzo30elulp9v.html,qq,龙行天下
11950000,7.0,https://v.qq.com/x/cover/yyinwkuxhf53hze.html,qq,岛城风云
43020000,8.2,https://v.qq.com/x/cover/6d99egfxrbnv12d.html,qq,特殊争夺
200000000,6.8,https://v.qq.com/x/cover/z7lrtetk159n0bc.html,qq,乱世丽人行
9020000,7.0,https://v.qq.com/x/cover/3r1kzhunnlr24ln.html,qq,反抗之真心英雄
75720000,8.7,https://v.qq.com/x/cover/jp4jr7uzskk4fou.html,qq,我是特种兵
43170000,8.7,https://v.qq.com/x/cover/7p7i5q9momipthi.html,qq,破产姐妹第五季
7660000,6.6,https://v.qq.com/x/cover/3vu3hse7648skjt.html,qq,七妹
44630000,4.7,https://v.qq.com/x/cover/fnt5pa592r0h10c.html,qq,武松
66840000,7.0,https://v.qq.com/x/cover/4be2648b9s5gm0w.html,qq,遇见爱情的利先生[未删减版]
9220000,6.5,https://v.qq.com/x/cover/i3go2kqcrdo5kkr.html,qq,媳妇的眼泪
37590000,7.7,https://v.qq.com/x/cover/7r19islcd92zcet.html,qq,1月新剧抢先看
10460000,4.6,https://v.qq.com/x/cover/7zmpcypbndhhnan.html,qq,国际大营救
7480000,4.8,https://v.qq.com/x/cover/lcv6n6nng1j6ev5.html,qq,黄河在咆哮
11740000,6.4,https://v.qq.com/x/cover/yqzaohj8ggbijgn.html,qq,欢天喜地七仙女
9320000,7.6,https://v.qq.com/x/cover/6aas9otaqh1p89i.html,qq,三十定律
26420000,8.4,https://v.qq.com/x/cover/g0pvh981yszeowa.html,qq,乡村爱情3
6850000,8.0,https://v.qq.com/x/cover/8mpsusadb7uze2x.html,qq,铁道游击队
5550000,8.2,https://v.qq.com/x/cover/6ajsxid54yt4pw5.html,qq,中国特警
43730000,9.3,https://v.qq.com/x/cover/w11okwzvdae87c1.html,qq,我的团长我的团
6460000,8.2,https://v.qq.com/x/cover/wr7wdt0ppa37adl.html,qq,边城汉子
800000000,7.5,https://v.qq.com/x/cover/h6577o2loiunrva.html,qq,剧有戏
13800000,5.2,https://v.qq.com/x/cover/vpefyma1gydesxp.html,qq,魔幻手机
7050000,7.4,https://v.qq.com/x/cover/zlrj1w9gv5vmb9u.html,qq,美丽错儿
26700000,6.8,https://v.qq.com/x/cover/rqia7u366k6i23u.html,qq,战火中青春之血染风采
4190000,7.8,https://v.qq.com/x/cover/rf2c9ezry9uesrg.html,qq,南少林三十六房
100000000,7.3,https://v.qq.com/x/cover/2einlbdpmha79xg.html,qq,真心想让你幸福
33850000,8.3,https://v.qq.com/x/cover/jnck5f54sc3vo9p.html,qq,大明嫔妃 第1部
10860000,6.7,https://v.qq.com/x/cover/tw1a4itg75f3zmx.html,qq,国色天香
300000000,8.2,https://v.qq.com/x/cover/zra6sg2x7pzovy5.html,qq,黑狐之风影
11870000,4.7,https://v.qq.com/x/cover/9n8r7xhf32lq3l4.html,qq,樱桃红之袖珍妈妈
57530000,9.1,https://v.qq.com/x/cover/3llq9tbpd17kuzi.html,qq,又是吴海英
8030000,7.9,https://v.qq.com/x/cover/4cik9m5yxk9ztyi.html,qq,独立纵队
15590000,8.0,https://v.qq.com/x/cover/mx87qjyf3ttgo6s.html,qq,回家的诱惑
6720000,6.3,https://v.qq.com/x/cover/zuohcird33ujmxl.html,qq,楚留香传奇
6450000,6.5,https://v.qq.com/x/cover/hcv2phctdi2tyx7.html,qq,木棉花的春天
33050000,4.7,https://v.qq.com/x/cover/l5xnegczjdm9zvm.html,qq,新还珠格格 第一部
7910000,8.4,https://v.qq.com/x/cover/d7bfifkapzjh818.html,qq,还珠格格2
7910000,8.9,https://v.qq.com/x/cover/fnkue5cejaby7rx.html,qq,还珠格格1
19570000,6.4,https://v.qq.com/x/cover/j6r379zrmf7c6md.html,qq,回家的欲望
5490000,8.2,https://v.qq.com/x/cover/l086kyzhn3x7gnk.html,qq,敢死队
39230000,8.3,https://v.qq.com/x/cover/7w0ss0rheyxej6v.html,qq,连城诀
16820000,8.5,https://v.qq.com/x/cover/qgj3qoowqgkmfub.html,qq,大时代
200000000,8.2,https://v.qq.com/x/cover/o7kwxlojcmfieyk.html,qq,追婚记
19500000,8.0,https://v.qq.com/x/cover/jtinnpm2v1fvans.html,qq,欧布奥特曼 原生之初 中文版
27050000,6.5,https://v.qq.com/x/cover/w8jkq7wwmpbs8ty.html,qq,瑶山大剿匪
28040000,9.6,https://v.qq.com/x/cover/q4vgq2e0uc4wrm3.html,qq,黎明之前
23940000,6.6,https://v.qq.com/x/cover/s6v288y3vl80g7o.html,qq,神枪手
17970000,7.3,https://v.qq.com/x/cover/eoodq8e9phruqx1.html,qq,城市恋人
4560000,7.1,https://v.qq.com/x/cover/e2l73lwy1th0y8q.html,qq,开国元勋朱德
100000000,7.2,https://v.qq.com/x/cover/g8cwj7mbd6jo50o.html,qq,绝地枪王2(TV版)
5150000,6.6,https://v.qq.com/x/cover/abxj45a7pqs8617.html,qq,初恋
4930000,8.6,https://v.qq.com/x/cover/ed78rj8eryyx2tv.html,qq,红幡
5930000,8.3,https://v.qq.com/x/cover/quqo1exq2ij5jpi.html,qq,暗香
16790000,9.6,https://v.qq.com/x/cover/qzfy2sez8dyz75k.html,qq,孤单又灿烂的神－鬼怪
12170000,9.1,https://v.qq.com/x/cover/eu5uld6q2pix5yi.html,qq,暖春
65280000,8.1,https://v.qq.com/x/cover/4be42ex4wy47tba.html,qq,小戏骨西游记红孩儿
67480000,7.7,https://v.qq.com/x/cover/1t9erwhksw1w712.html,qq,北上广依然相信爱情[未删减版]
4880000,7.9,https://v.qq.com/x/cover/ac2yok16awndxf4.html,qq,盘龙卧虎高山顶
4160000,8.0,https://v.qq.com/x/cover/8hjdh0gcxvwtjf4.html,qq,我是乡巴佬
54110000,7.9,https://v.qq.com/x/cover/rsozanwil5ywko2.html,qq,乡村爱情4
4760000,8.1,https://v.qq.com/x/cover/3cerde4xndw4zcb.html,qq,兵变1938
7670000,6.8,https://v.qq.com/x/cover/h9lbo5xrcnndtcu.html,qq,名门媳妇
800000,7.3,https://v.qq.com/x/cover/6nl6y5e9ci9n4te.html,qq,破产姐妹第六季
87250000,7.6,https://v.qq.com/x/cover/c48zwqzgpe0pdj8.html,qq,2017美剧抢先看
600000000,6.5,https://v.qq.com/x/cover/8isk5221i4etrrw.html,qq,绝地枪王2
