domain,link,play_count,name,score
sohu,http://tv.sohu.com/item/MTE5OTI2Mw==.html,20346911,伙伴夫妻,6.0
sohu,http://tv.sohu.com/item/MTIwMzc1OA==.html,34025296,私房钱,4.0
sohu,http://tv.sohu.com/item/MTE3NjU2Mw==.html,25424733,火线英雄,8.0
sohu,http://tv.sohu.com/item/MTE5NDY2Nw==.html,116857680,待嫁老爸,7.0
sohu,http://tv.sohu.com/item/MTE5OTc3Mg==.html,90556775,后海不是海,8.0
sohu,http://tv.sohu.com/item/MTEwMjAxMQ==.html,96758319,大舜,7.0
sohu,http://tv.sohu.com/item/MTIwMzg4MQ==.html,17134057,鄂尔多斯风暴,4.0
sohu,http://tv.sohu.com/item/MTIwMzI4Mw==.html,1272405,渔岛怒潮,0.0
sohu,http://tv.sohu.com/item/MTE5NzA4Ng==.html,62491394,末代皇帝传奇,7.0
sohu,http://tv.sohu.com/item/OTk3Mzk3.html,68389300,婚前协议,7.0
sohu,http://tv.sohu.com/item/MTIwMzEwMg==.html,15380262,白云飘飘的年代,7.0
sohu,http://tv.sohu.com/item/MTE5OTM1MA==.html,1064433,生死兄弟情,8.0
sohu,http://tv.sohu.com/item/MTIwMzMxMQ==.html,46536109,新济公活佛下部（卫视版）,8.0
sohu,http://tv.sohu.com/item/MTIwNDA3Mw==.html,11437692,爸爸是条龙,5.0
sohu,http://tv.sohu.com/item/MTIwNDYwOA==.html,108304,龙门镖局 第二季,
sohu,http://tv.sohu.com/item/MTIwNzY3OQ==.html,171823,择天记,
sohu,http://tv.sohu.com/item/MTIwNzE0OA==.html,68732,柜中美人,
sohu,http://tv.sohu.com/item/MTIwNDk5Mg==.html,20779,美人如玉剑如虹,
sohu,http://tv.sohu.com/item/MTIwNTU4Mg==.html,332662,头号前妻,
sohu,http://tv.sohu.com/item/MTIwNzQzNA==.html,134338,荣生茂风云,7.0
sohu,http://tv.sohu.com/item/MTIwNzgyNA==.html,124949,上海故事,0.0
