actor1,first_show,actor4,title,actor3,production_company,name2,online,style,writer,actor2,douban_num,name1,seasons,director,episodes,douban_score
闫学晶,2013年3月24日 黑龙江都市频道,丁柳元,不能没有家,乔振宇,陕西文投艺达投资有限公司,,乐视[6],都市，情感，轻喜剧,卜可,宋佳伦,28,,,孙滔,33集,0
Pepper,2004年6月15日,Oh Pakjira Wanasut,美人计,Pong,CH5,,优酷,,,Alicha,12270,,,,12,7.8
赵恒煊,2006,张立,铁道游击队,刘长纯,山东省辉煌世纪影视文化有限公司,,pptv、央视、风行、迅雷,抗战,李世明,史兰芽,8716,,,王新民,35,7.5
段红,2015年6月9日,,没说不爱你,沈璐,北京金锐屏影视文化投资艺术公司,,,情感,郭永飞,吴其江,1,,,李麒,25集,0
,,,超级巨星,,,,,喜剧,,,20,,,Oliver Schmitz,,0
黄少祺,,陈亚兰,神机妙算刘伯温,霍正奇,笙华国际传播有限公司,,,历史，古装,陈文贵，玄火，刘肖箐，李信邦，方泓仁，孙昆林，蔡文杰,简沛恩,109,,,丁仰国，程国权，李海兴，张孝正，黄祖权，鞠觉亮，郑少峰，李孟霖,40集,7.8
胡杏儿,2014年5月2日,茅子俊,红酒俏佳人,邱泽,欢瑞世纪,,腾讯视频,爱情,王然,李晟,27,,,张孝正,42集，36集（删减版）,0
赵震雄,2016年11月4日,朴正民,明星伙伴,李光洙,CJ E&M,,腾讯视频,喜剧,徐载元,徐康俊,1842,,,张英宇,16集,5.9
张歆艺,2016年3月11日,孙淳,穿越谜团,江珊,海润影视集团等,,爱奇艺,都市,邱永懿,袁弘,394,,,沈严,36集,7.5
,,,曹操,,,,,,,,279,,,,,6.4
黄圣依,2013年4月2日,韩栋,没有承诺的爱,何洁,,,爱奇艺,都市,,朱孝天,5,,,李力安,14集,0
于小伟,2014年9月23日湖南经视,骆达华,烽火英雄传,范雷,上海克顿影视有限责任公司,,乐视网,年代传奇/战争传奇,吴道友，刘静宇，樊易,张一鸾,18,,,陶秋普,38集,0
