ranking4,play_count,ranking2,actors3,name4,show_theatre,thumbs_down,actors4,location,name1,production_company,style,ranking3,length,director,seasons,show_platform,show_date,link,actors2,rating3,share4,actors1,writer,title,episodes,language,rating1,ranking1,rating2,thumbs_up,douban_score,share1,name3,name2,rating4,share3,show_time,first_show,douban_num,share2,year,score
,2.37亿,,,,,14510,,内地,,,青春剧/军旅剧/剧情,,,林建中,,,,http://www.iqiyi.com/a_19rrhbzisx.html,,,,,,我要当八路,,国语,,,,70872,2.8,,,,,,,,65,,,8.3
,6.99亿,,,,,58655,,内地,,,喜剧/网络剧,,,尹琪,,,,http://www.iqiyi.com/a_19rrgib6x5.html,,,,,,废柴兄弟1,,国语,,,,524314,,,,,,,,,,,,9.0
,4.52亿,,,,,18610,,内地,,,,,,马跃千,,,,http://www.iqiyi.com/a_19rrhas2wp.html,,,,,,硬骨头,,国语,,,,37912,7.3,,,,,,,,53,,,6.7
,3.35亿,,,,,44861,,内地,,,剧情/网络剧,,,韦正,,,,http://www.iqiyi.com/a_19rrhaznch.html,,,,,,爱情公寓番外篇,,国语,,,,348440,,,,,,,,,,,,8.9
,4.09亿,,,,,19566,,内地,,,言情剧,,,潘越,,,,http://www.iqiyi.com/a_19rrhaqs4p.html,,,,,,我的爱情撞上了战争,,国语,,,,37631,4.2,,,,,,,,162,,,6.6
,5585万,,,,,3669,,内地,,,历史剧/谍战剧/家庭剧/军旅剧/剧情,,,国建勇,,,,http://www.iqiyi.com/a_19rrhbk8ax.html,,,,,,利箭行动,,国语,,,,13898,3.9,,,,,,,,277,,,7.9
,7956万,,,,,3312,,内地,,,悬疑剧/谍战剧/剧情,,,徐昂,,,,http://www.iqiyi.com/a_19rrhagil1.html,,,,,,猎人,,国语,,,,8953,6.8,,,,,,,,1388,,,7.3
,1.40亿,,,,,14457,,内地,,,年代剧/军旅剧/剧情,,,徐善杰,,,,http://www.iqiyi.com/a_19rrhc464h.html,,,,,,苍狼,,国语,,,,52418,4.8,,,,,,,,134,,,7.8
,9.32亿,,,,,44752,,内地,,,言情剧/偶像剧/青春剧/剧情,,,林健龙/徐惠康,,,,http://www.iqiyi.com/a_19rrhb9aux.html,,,,,,旋风十一人,,国语,,,,622238,6.8,,,,,,,,6022,,,9.3
,15.09亿,,,,,105328,,内地,,,言情剧/偶像剧/喜剧/剧情/都市,,,夏晓昀,,,,http://www.iqiyi.com/a_19rrhb27kd.html,,,,,,大好时光,,国语,,,,747249,5.9,,,,,,,,10378,,,8.8
,3.67亿,,,,,41980,,内地,,,年代剧/军旅剧/剧情,,,耿明吉,,,,http://www.iqiyi.com/a_19rrhb94rh.html,,,,,,终极对决,,国语,,,,120187,8.8,,,,,,,,416,,,7.4
,2.60亿,,,,,10427,,内地,,,历史剧/军旅剧,,,康洪雷,,,,http://www.iqiyi.com/a_19rrk2uopt.html,,,,,,我的团长我的团,,43集全,,,,135844,8.8,,,,,,,,20039,,,9.3
,8.26亿,,,,,43100,,内地,,,家庭剧/都市,,,沈严/刘海波,,,,http://www.iqiyi.com/a_19rrh9rhq5.html,,,,,,太太万岁,,国语,,,,102475,8.3,,,,,,,,3954,,,7.0
,3.42亿,,,,,13575,,内地,,,青春剧/军旅剧,,,康洪雷,,,,http://www.iqiyi.com/a_19rrk2uolh.html,,,,,,士兵突击,,国语,,,,119105,9.2,,,,,,,,54866,,,9.0
,1.76亿,,,,,134784,,内地,,,喜剧/青春剧/家庭剧,,,林丛,,,,http://www.iqiyi.com/a_19rrj6rle5.html,,,,,,家有儿女 第四部,,67集全,,,,762481,,,,,,,,,,,,8.5
,10.32亿,0,,,,77673,,内地,广东卫视CSM52城收视率,,言情剧/偶像剧/商战剧/剧情/都市,,,牛乐,,,,http://www.iqiyi.com/a_19rrhacind.html,,,,,,远得要命的爱情,,国语,0.43466666666666665,13.61111111111111,0,382115,7.4,1.149888888888889,,全国网收视率,,,,,4384,0,,8.3
,3.28亿,,,,,51517,,内地,,,言情剧/青春剧/都市,,,王迎,,,,http://www.iqiyi.com/a_19rrhazxk5.html,,,,,,敢爱,,国语,,,,124354,6.5,,,,,,,,1086,,,7.1
,7853万,,,,,4323,,内地,,,年代剧/谍战剧/剧情,,,张永生,,,,http://www.iqiyi.com/a_19rrhbb8dx.html,,,,,,战火连天,,国语,,,,8857,0,,,,,,,,30,,,6.7
,2941万,,,,,1732,,内地,,,言情剧/都市,,,袁英明/朱少杰,,,,http://www.iqiyi.com/a_19rrh95i7p.html,,,,,,守护丽人未删减版,,国语,,,,8049,,,,,,,,,,,,8.2
,2257万,,,,,1167,,内地,,,家庭剧,,,张多福,,,,http://www.iqiyi.com/a_19rrhbdszd.html,,,,,,妈妈像花儿一样,,国语,1.1460454545454544,2.4761904761904763,,8844,6.1,3.162136363636364,,,,,,,1906,,,8.8
,7.60亿,,,,,56813,,内地,,,喜剧/青春剧/网络剧,,,尹琪/姬智,,,,http://www.iqiyi.com/a_19rrhb48wx.html,,,,,,废柴兄弟3,,国语,,,,381738,7.4,,,,,,,,960,,,8.7
,14.42亿,,,,,70201,,内地,,,历史剧/军旅剧,,,张黎,,,,http://www.iqiyi.com/a_19rrhbf5th.html,,,,,,少帅,,国语,,,,344521,6.8,,,,,,,,9237,,,8.3
,18.57亿,,,,,172866,,内地,,,言情剧/武侠剧/古装剧/偶像剧,,,黄伟杰,,,,http://www.iqiyi.com/a_19rrhaam8t.html,,,,,,蜀山战纪剑侠传奇,,国语,,,,1405154,,,,,,,,,,,,8.9
,1.26亿,,,,,44504,,内地,,,年代剧/军旅剧/剧情,,,李小亭,,,,http://www.iqiyi.com/a_19rrjae3ax.html,,,,,,地道战,,国语,,,,249562,8.2,,,,,,,,37482,,,8.5
,3.89亿,,,,,47017,,内地,,,历史剧/军旅剧/剧情,,,焦晓雨,,,,http://www.iqiyi.com/a_19rrhb9gyd.html,,,,,,地雷战,,国语,,,,170080,8,,,,,,,,22071,,,7.8
,2922万,,,,,1905,,内地,,,言情剧/古装剧/家庭剧,,,罗福,,,,http://www.iqiyi.com/a_19rrh9vj25.html,,,,,,哑巴新娘,,国语,,,,5619,6,,,,,,,,3190,,,7.5
,3.25亿,,,,,27615,,内地,《爱闪亮》江苏卫视首播csm46城收视,,言情剧/偶像剧/青春剧,,,宋洋,,,,http://www.iqiyi.com/a_19rrgj9k5t.html,,,,,,爱闪亮,,国语,1.2147419354838707,2.6774193548387095,,109988,4.7,,,,,,,,177,,,8.0
,7640万,,,,,2530,,内地,,,古装剧/神话剧/剧情,,,金国钊,,,,http://www.iqiyi.com/a_19rrj6vl71.html,,,,,,封神榜之凤鸣岐山,,38集全,,,,49396,6,,,,,,,,2817,,,9.5
,2.37亿,,,,,20184,,内地,,,言情剧/偶像剧/青春剧,,,滕文骥,,,,http://www.iqiyi.com/a_19rrj5unmp.html,,,,,,血色浪漫,,国语,,,,224208,8.7,,,,,,,,33013,,,9.2
,1.90亿,,,,,29438,,内地,,,言情剧/古装剧/喜剧,,,张子恩,,,,http://www.iqiyi.com/a_19rrj5ql11.html,,,,,,上错花轿嫁对郎,,国语,,,,326424,7.2,,,,,,,,29890,,,9.2
,2.45亿,,,,,35422,,韩国,,,言情剧/偶像剧/穿越剧/剧情,,,张太侑,,,,http://www.iqiyi.com/a_19rrhadkyt.html,,,,,,来自星星的你国语版,,国语,,,,243187,,,,,,,,,,,,8.7
,5.36亿,,,,,53387,,韩国,,,言情剧/喜剧/青春剧/剧情/都市,,,刘济元,,,,http://www.iqiyi.com/a_19rrhbhrt1.html,,,,,,哦我的鬼神大人,,韩语,0,,0,387479,8.2,,,,,,,,29753,,,8.8
,2.17亿,,,,,14695,,内地,,,言情剧/悬疑剧/家庭剧/都市,,,高先明,,,,http://www.iqiyi.com/a_19rrhai6k9.html,,,,,,情谜睡美人,,国语,,,,28022,3,,,,,,,,323,,,6.6
,2.62亿,,,,,11281,,内地,,,年代剧/军旅剧/剧情,,,孙小光,,,,http://www.iqiyi.com/a_19rrhc0w6t.html,,,,,,铁血武工队,,国语,,,,57685,4.7,,,,,,,,97,,,8.4
,2.51亿,,,,,13509,,内地,,,历史剧/古装剧/悬疑剧/罪案剧,,,钱雁秋,,,,http://www.iqiyi.com/a_19rrk6yyt5.html,,,,,,神探狄仁杰第一部,,27集全,,,,84536,,,,,,,,,,,,8.6
,2.39亿,,,,,155313,,内地,,,古装剧/神话剧/剧情,,,江天/陈咏歌,,,,http://www.iqiyi.com/a_19rrj5p70x.html,,,,,,欢天喜地七仙女,,38集全,,,,1429282,5.7,,,,,,,,5430,,,9.0
,18.55亿,3.391304347826087,,,,136287,,内地,东方卫视CSM50城,,言情剧/偶像剧/喜剧/青春剧/家庭剧/都市,,,姚晓峰,,,,http://www.iqiyi.com/a_19rrhaywod.html,,,,,,虎妈猫爸,,国语,1.3198333333333332,1.826086956521739,0.8205416666666668,675720,6.9,3.869173913043478,,天津卫视CSM50城,,,,,13301,2.3980434782608695,,8.3
,3.12亿,,,,,51131,,内地,,,科幻剧/喜剧/青春剧/剧情/网络剧,,,李泽露,,,,http://www.iqiyi.com/a_19rrh9q7a1.html,,,,,,我不是妖怪,,国语,,,,268949,6.7,,,,,,,,847,,,8.4
,3.87亿,,,,,237269,,内地,,,喜剧/青春剧/家庭剧,,,林丛,,,,http://www.iqiyi.com/a_19rrj6rvel.html,,,,,,家有儿女 第二部,,100集全,,,,2463815,,,,,,,,,,,,9.1
,2.34亿,,,,,51842,,内地,,,言情剧/偶像剧/青春剧,,,张孝正,,,,http://www.iqiyi.com/a_19rrgig0kt.html,,,,,,涛女郎,,国语,1.069608695652174,2.090909090909091,,174510,3.3,,,,,,,,166,,,7.7
,29.22亿,,,,,251360,,内地,,,古装剧/偶像剧,,,鞠觉亮,,,,http://www.iqiyi.com/a_19rrhbd4i9.html,,,,,,幻城,,国语,,,,1553251,3,,,,,,,,17012,,,8.6
,6.53亿,,,,,53477,,内地,,,言情剧/古装剧/神话剧/剧情,,,黄祖权/蓝志伟/麦炳华/谭朗昌,,,,http://www.iqiyi.com/a_19rrhb2ipl.html,,,,,,聊斋新编,,国语,,,,189136,5.3,,,,,,,,755,,,7.8
,10.36亿,,,,,38051,,内地,,,军旅剧,,,谷诗阳,,,,http://www.iqiyi.com/a_19rrh9wb2d.html,,,,,,寒山令,,国语,,,,82609,5.3,,,,,,,,77,,,6.8
,7.85亿,,,,,86117,,内地,,,言情剧/农村剧/家庭剧,,,王梓,,,,http://www.iqiyi.com/a_19rrhbahb5.html,,,,,,俺娘田小草,,国语,,,,197705,3.4,,,,,,,,435,,,7.0
,1.85亿,,,,,11306,,内地,,,言情剧/武侠剧/剧情,,,邓衍成/梁欣全,,,,http://www.iqiyi.com/a_19rrgierkx.html,,,,,,天下第一,,国语,,,,92590,7.3,,,,,,,,15571,,,8.9
,2.72亿,,,,,14697,,内地,《大年初一立春》天津卫视GSM52城收视,,喜剧/家庭剧/都市,,,韩兆,,,,http://www.iqiyi.com/a_19rrhadrld.html,,,,,,大年初一立春,,国语,0.5245555555555556,9.61111111111111,,59762,5,1.4036666666666668,,,,,,,105,,,8.0
,16.86亿,1.0769230769230769,,,,64296,,内地,,,古装剧/偶像剧/神话剧/青春剧,,,黄建勋/苏沅峰,,,,http://www.iqiyi.com/a_19rrg5m185.html,,,,,,天天有喜,,,3.8865000000000003,1.0,1.5368249999999999,621108,3.5,12.48125,,,,,,,2095,4.486750000000001,,9.1
,20.17亿,,,,,163836,,内地,,,言情剧/偶像剧/青春剧/都市,,,张思麟,,,,http://www.iqiyi.com/a_19rrhb8fjp.html,,,,,,那年青春我们正好,,国语,,,,709159,4.7,,,,,,,,9409,,,8.1
,34.01亿,,,,,276720,,内地,,,历史剧/年代剧,,,郭靖宇,,,,http://www.iqiyi.com/a_19rrhbc5yl.html,,,,,,大秧歌,,国语,,,,1049799,4.9,,,,,,,,2796,,,7.9
,2.62亿,,,,,490558,,内地,,,言情剧/剧情/都市,,,李文岐,,,,http://www.iqiyi.com/a_19rrj6v1m1.html,,,,,,李小龙传奇,,国语,,,,4217329,6.5,,,,,,,,2660,,,9.0
,2.22亿,,,,,5224,,内地,,,古装剧/喜剧/宫廷剧,,,张国立/罗长安,,,,http://www.iqiyi.com/a_19rrj5qeg1.html,,,,,,铁齿铜牙纪晓岚第四部,,国语,,,,199479,,,,,,,,,,,,9.7
,13.64亿,1.0,,,,187389,,内地,,,言情剧/年代剧/偶像剧/剧情,,,林合隆,,,,http://www.iqiyi.com/a_19rrhbze5h.html,,,,,,锦绣缘华丽冒险,,国语,1.9085416666666664,1.0,3.4119047619047613,1061837,4.6,5.342333333333333,,,,,,,4221,9.762380952380951,,8.5
,3.53亿,,,,,5279,,内地,,,偶像剧/军旅剧,,,林建中,,,,http://www.iqiyi.com/a_19rrk4nrux.html,,,,,,向着炮火前进,,,,,,28751,4.3,,,,,,,,929,,,8.4
,8954万,,,,,5324,,内地,,,农村剧/青春剧/家庭剧,,,乌兰塔娜,,,,http://www.iqiyi.com/a_19rrj6wii5.html,,,,,,暖春,,26集全,,,,443930,7.9,,,,,,,,20640,,,9.9
,23.48亿,3.1923076923076925,,,,143453,,内地,"东方卫视CSM52城收视
率",,言情剧/古装剧/偶像剧/宫廷剧/剧情,,,李国立/郑伟文,,,,http://www.iqiyi.com/a_19rrhc496p.html,,,,,,女医明妃传,,国语,1.2970000000000002,1.8461538461538463,1.1671481481481483,824857,6.1,3.40062962962963,,江苏卫视CSM52城收视率,,,,,19285,3.065222222222222,,8.5
