link,score,name,play_count,domain
http://www.le.com/tv/10035183.html,8.5,极速刷鸡毛,111899,le
http://www.le.com/tv/10032971.html,8.0,真心想让你幸福,41017570,le
http://www.le.com/tv/10033258.html,8.7,我与你的光年距离,741721289,le
http://www.le.com/tv/10032963.html,8.5,放弃我抓紧我未删减版,45497711,le
http://www.le.com/tv/10004218.html,8.2,大秦帝国之崛起,51144552,le
http://www.le.com/tv/10020565.html,8.5,放弃我抓紧我,841480643,le
http://www.le.com/tv/10033168.html,9.0,孤芳剧透社,36468791,le
http://www.le.com/tv/10032788.html,8.0,老公们的私房钱,180590084,le
http://www.le.com/tv/10034651.html,8.0,青年霍元甲之冲出江湖未删减版,18464836,le
http://www.le.com/tv/10033008.html,8.0,淬火成钢,20057397,le
http://www.le.com/tv/10034703.html,9.0,极速赏桃花,17253023,le
http://www.le.com/tv/10032072.html,8.5,我的爱对你说,41636375,le
http://www.le.com/tv/10034562.html,9.0,三生三世十里桃花杨幂cut,8505414,le
http://www.le.com/tv/10032753.html,8.9,深宅1927,30888207,le
http://www.le.com/tv/10023537.html,9.5,周末父母未删减版,22905290,le
http://www.le.com/tv/10010111.html,8.4,我是杜拉拉,2926361,le
http://www.le.com/tv/10023130.html,9.5,周末父母,141764871,le
http://www.le.com/tv/10033230.html,9.5,神秘博士圣诞特别篇,199431,le
http://www.le.com/tv/10022394.html,9.4,三生三世十里桃花,3409673159,le
http://www.le.com/tv/10029237.html,8.0,豆娘,42195174,le
http://www.le.com/tv/10033840.html,8.7,学院传说之三生三世桃花缘,0,le
http://www.le.com/tv/10021589.html,9.4,战争和人,572914,le
http://www.le.com/tv/10034083.html,8.0,青年霍元甲之冲出江湖,70362574,le
http://www.le.com/tv/10021550.html,9.4,真爱背后,1574176,le
http://www.le.com/tv/10034460.html,8.0,战火中的兄弟,67226534,le
http://www.le.com/tv/92634.html,8.0,我的儿子是奇葩,193135443,le
http://www.le.com/tv/10034458.html,8.0,淘气爷孙,75662217,le
http://www.le.com/tv/10001479.html,6.9,涛女郎,206827034,le
http://www.le.com/tv/10034536.html,8.0,双喜盈门,46079494,le
http://www.le.com/tv/10003682.html,7.8,满仓进城,213117778,le
http://www.le.com/tv/10034653.html,8.0,真实的人类（瑞典版）第二季,235635,le
http://www.le.com/tv/10002957.html,9.0,马向阳下乡记,193867565,le
http://www.le.com/tv/10034652.html,8.0,真实的人类（瑞典版）第一季,805997,le
http://www.le.com/tv/10004164.html,8.5,卫子夫,254786627,le
http://www.le.com/tv/10020129.html,9.0,孤芳不自赏,0,le
http://www.le.com/tv/93318.html,8.0,大丈夫,176014576,le
http://www.le.com/tv/10033170.html,9.0,极速赏孤芳,65935896,le
http://www.le.com/tv/10004081.html,8.5,穷孩子富孩子,139143019,le
http://www.le.com/tv/10033162.html,9.0,孤芳不自赏未删减版,585120038,le
http://www.le.com/tv/92949.html,8.0,我和我的传奇奶奶,113293344,le
http://www.le.com/tv/95502.html,8.0,战火兵魂,58507232,le
http://www.le.com/tv/92968.html,8.0,喋血孤岛,298811860,le
http://www.le.com/tv/93150.html,7.5,黎明前的抉择,163474405,le
http://www.le.com/tv/93340.html,7.8,封神英雄榜,255282694,le
http://www.le.com/tv/10027423.html,8.0,家有大姐,1943805,le
http://www.le.com/tv/10003419.html,7.0,剑侠,226886501,le
http://www.le.com/tv/10027432.html,8.0,SDCC 展会明星 第一季,213813,le
http://www.le.com/tv/96307.html,7.0,刀客家族的女人,364596490,le
http://www.le.com/tv/10008152.html,9.0,好大一个家,41467517,le
http://www.le.com/tv/10002029.html,9.2,古剑奇谭未删减版,380893386,le
http://www.le.com/tv/10021800.html,8.9,玉海棠,55897679,le
http://www.le.com/tv/81611.html,9.1,纸婚,91235953,le
http://www.le.com/tv/10008874.html,8.7,炮神,172339902,le
http://www.le.com/tv/95383.html,7.8,兵临村下,131802889,le
http://www.le.com/tv/10027301.html,8.1,查泰莱夫人的情人,739923,le
http://www.le.com/tv/10002760.html,8.0,相爱十年,155625811,le
http://www.le.com/tv/10011078.html,8.2,永无止境 第一季,12886902,le
http://www.le.com/tv/10004759.html,8.6,奇葩一家亲,203020788,le
http://www.le.com/tv/10009768.html,8.1,奔腾年代第二季,414599,le
http://www.le.com/tv/96305.html,8.0,飘帅,139627461,le
http://www.le.com/tv/10021538.html,8.5,黄河在咆哮,6900358,le
http://www.le.com/tv/96306.html,7.8,一仆二主,236104975,le
http://www.le.com/tv/10011909.html,9.2,游侠笑传第一季,1837768,le
http://www.le.com/tv/10004356.html,7.6,幸福36计未删减版,67657375,le
http://www.le.com/tv/10014301.html,8.2,初来乍到第一季,5137866,le
http://www.le.com/tv/10003854.html,7.8,女人要过好日子,58561808,le
http://www.le.com/tv/10022561.html,9.4,传奇大掌柜,32871917,le
http://www.le.com/tv/10016347.html,8.8,9号秘事 第一季,6586737,le
http://www.le.com/tv/10014896.html,9.0,反恐特战队,26561774,le
http://www.le.com/tv/10001771.html,8.5,微象,780628,le
http://www.le.com/tv/10007585.html,8.1,平凡的世界,537896347,le
http://www.le.com/tv/10001745.html,8.0,神枪之倒刺,148425329,le
http://www.le.com/tv/10014980.html,8.3,芈月传奇北京卫视版,22573567,le
http://www.le.com/tv/10006911.html,8.1,剿匪英雄,41492683,le
http://www.le.com/tv/10015173.html,9.0,太子妃升职记,3780470938,le
http://www.le.com/tv/10002364.html,8.0,冒牌英雄,69492031,le
http://www.le.com/tv/91802.html,8.0,少年四大名捕,562783716,le
http://www.le.com/tv/81674.html,9.0,楚留香新传,98550361,le
http://www.le.com/tv/10011670.html,9.0,真实的人类第一季,23863322,le
http://www.le.com/tv/10019170.html,8.5,水瓶宫第一季,12403803,le
http://www.le.com/tv/10016861.html,7.0,诡案,30400447,le
