rating2,ranking2,link,style,year,share3,actors4,actors2,thumbs_up,seasons,ranking3,name3,show_theatre,share2,name1,episodes,douban_score,share4,name2,length,rating4,show_date,play_count,show_time,actors1,ranking1,name4,location,aid1,rating1,ranking4,thumbs_down,title,production_company,aid4,share1,id,did,aid2,douban_num,score,show_platform,language,first_show,actors3,rating3,director,writer,aid3
,,https://movie.douban.com/subject/25831874/,剧情/爱情,2016,,晋久,宋仲基,,1,,,,,,16,7.6,,, 60分钟,,2016-02-24,,,宋慧乔,,,韩国,,,,,太阳的后裔,NEW,,,25831874,,,78547,,KBS 2TV,,2016-02-24(韩国),金智媛,,李应福,金银淑,
,,https://movie.douban.com/subject/2279825/,武侠/古装,1999,,萧蔷,贾静雯,,1,,,,,,40,7.3,,, 45分钟,,,,,焦恩俊,,,中国大陆/台湾,,,,,小李飞刀,中华电视公司（中国台湾）,,,2279825,,,28900,,,,1999-08-03(台湾),俞飞鸿,,袁和平,陈文贵,
,,https://movie.douban.com/subject/1393859/,喜剧/爱情,1994,,马特·勒布朗,柯特妮·考克斯,,10,,,,,,24,9.6,,, 22分钟 / 30分钟(未删减版),,,,,詹妮弗·安妮斯顿,,,美国,,,,,老友记 第一季,华纳兄弟电影公司,,,1393859,,,116189,,,,1994-09-22(美国),丽莎·库卓,,大卫·克拉尼,大卫·克拉尼,
,,https://movie.douban.com/subject/2270545/,剧情/喜剧/武侠,2000,,李立群,陶虹,,1,,,,,,38,7.1,,, 45分钟,,,,2004年,徐峥,,,中国大陆,,,,,春光灿烂猪八戒,,,,2270545,,,34887,,,,2000,孙兴,,范小天,张炭,
,,https://movie.douban.com/subject/1478186/,剧情/动作/武侠,1983,,杨盼盼,翁美玲,,1,,,,,东方卫视CSM52城收视,59,9.1,,, 42分钟,,"2017年1月9日
[46]",,,黄日华,,,香港,,0.5478571428571429,,,射雕英雄传,爱奇艺、华策影视、完美建信、完美世界影视,,2.9360714285714278,1478186,,,34854,,"东方卫视
[4]",,1983-05-24(香港),苗侨伟,,王天林,张华标,
,,https://movie.douban.com/subject/2156704/,剧情/历史/武侠,1993,,蔡文杰,何家劲,,1,,,,,,,8,,, 47分钟,,,,,金超群,,,台湾/香港,,,,,包青天,,,,2156704,,,29787,,,,1993-02-23(台湾),范鸿轩,,孙树培,陈文贵,
,,https://movie.douban.com/subject/1863923/,动作/冒险/喜剧,1998,,梁小冰,马浚伟,,1,,,海豚第一剧场,,,45,8.7,,,,,2014年12月20日,,"每晚19:30
[15]",陈小春,,,香港,,,,,鹿鼎记,华策影视、长宏影视股份有限公司,,,1863923,,,53790,,安徽卫视,,1998-06-01(香港),刘玉翠,,李添胜,金庸,
,,https://movie.douban.com/subject/2157131/,剧情/悬疑/古装,2000,,李冰冰,释小龙,,1,,,,,,40,7.9,,, 45分钟,,,,,周杰,,,中国大陆,,,,,少年包青天,广州东方明珠文化传播有限公司,,,2157131,,,48501,,,,2000-09-04(香港),任泉,,胡明凯,黄浩华,
,,https://movie.douban.com/subject/1864810/,剧情/爱情/古装,1987,,张莉,陈晓旭,,1,,,,,,36,9.5,,, 45分钟,,,,,欧阳奋强,,,中国大陆,,,,,红楼梦,,,,1864810,,,53219,,,,1987-05-02(中国大陆),邓婕,,王扶林,曹雪芹,
,,https://movie.douban.com/subject/7054120/,剧情/科幻/惊悚,2011,,托比·凯贝尔,鲁伯特·艾弗雷特,,4,,,,,,3,9.3,,, 45分钟,,,,,罗里·金奈尔,,,英国,,,,,黑镜 第一季,Zeppotron Ltd.,,,7054120,,,181782,,,,2011-12-04(英国),丹尼尔·卡卢亚,,Otto Bathurst,查理·布鲁克,
,,https://movie.douban.com/subject/1863941/,剧情/武侠/古装,1997,,李若彤,陈浩民,,1,,,,,,45,8.7,,, 45分钟,,,,2003年12月11日,黄日华,,,香港,,,,,天龙八部,,,,1863941,,,55339,,浙江卫视,,1997-07-28(香港),樊少皇,,李添胜,金庸,
,,https://movie.douban.com/subject/3016187/,剧情/奇幻/冒险,2011,,罗恩·多纳基,查尔斯·丹斯,,8,,,,,,10,9.3,,, 60分钟,,2011年04月17日,,,伊萨克·亨普斯特德-怀特,,,美国/英国,,,,,权力的游戏 第一季,,,,3016187,,,153503,,,,2011-04-17(美国),约翰·C·布莱德利,,蒂莫西·范·帕腾,戴维·贝尼奥夫,
,,https://movie.douban.com/subject/1786742/,战争/剧情/音乐,2001,,苏有朋,古巨基,,1,,,,,,46,7,,, 40分钟,,2001年04月03日,,,赵薇,,,中国大陆/台湾,,,,,情深深雨濛濛,台湾怡人传播有限公司，中国国际电视总公司,,,1786742,,,47319,,中视（CTV）,,2001-09-03(中国大陆),林心如,,李平,琼瑶,
,,https://movie.douban.com/subject/3986493/,剧情/悬疑/犯罪,2010,,安德鲁·斯科特,马丁·弗瑞曼,,4,,,,,,3,9.3,,, 90分钟,,,,2010-07-25,本尼迪克特·康伯巴奇,,,英国,,,,,神探夏洛克 第一季,BBC,,,3986493,,,215527,,,,2010-07-25(英国),鲁珀特·格雷夫斯,,保罗·麦奎根,阿瑟·柯南·道尔,
,,https://movie.douban.com/subject/2154096/,剧情,2006,,张译,陈思诚,,1,,,,,,30,9.2,,, 45分钟,,,,,王宝强,,,中国大陆,,,,,士兵突击,八一电影制片厂，华谊兄弟,,,2154096,,,54915,,,,2006-12-24(中国大陆),段奕宏,,康洪雷,兰晓龙,
,,https://movie.douban.com/subject/3882715/,喜剧,2006,,喻恩泰,姚晨,,1,,,,,,80,9.2,,, 40分钟,,,,,闫妮,,,中国大陆,,,,,武林外传,北京联盟影业投资有限公司,,,3882715,,,96106,,,,2006-01-02(中国大陆),沙溢,,尚敬,宁财神,
,,https://movie.douban.com/subject/3314870/,剧情/爱情,2009,,祖峰,姚晨,,1,,,,,,30,9.2,,, 40分钟,,,,2008年11月24日晚8点,孙红雷,,,中国大陆,,,,,潜伏,东阳青雨影视文化有限公司,,,3314870,,,66225,,天津电视台三套节目,,2009-04-01(中国大陆),沈傲君,,姜伟,姜伟,
,,https://movie.douban.com/subject/1863947/,爱情/武侠/古装,1995,,张可颐,李若彤,,1,,,《海豚星光剧场》,,,32,8.9,,, 45分钟,,,,,古天乐,,,香港,,,,,神雕侠侣,华夏视听环球传媒集团有限公司、于正工作室,,,1863947,,,70972,,,,1995-07-31(香港),李绮虹,,李添胜,黄国辉,
